state,county,latitude,longitude
VA,Smyth,36.869374,-81.399235
VA,Wythe,36.854655,-80.922512
VA,Bland,37.127348,-81.15842
VA,Carroll,36.664788,-80.729669
VA,Galax City,36.660281,-80.913605
VA,Tazewell,37.006018,-81.570038
VA,Staunton City,38.157368,-79.065116
VA,Bath,38.055311,-79.746367
VA,Highland,38.385967,-79.559157
VA,Rockbridge,37.926477,-79.329162
VA,Buena Vista City,37.730001,-79.355121
VA,Clifton Forge City,37.824232,-79.823119
VA,Covington City,37.780216,-79.986963
VA,Alleghany,37.796454,-79.785987
VA,Lexington City,37.779976,-79.443495
VA,Lynchburg City,37.383112,-79.178326
VA,Campbell,37.242503,-79.109789
VA,Halifax,36.596827,-79.043054
VA,Amherst,37.59162,-79.108441
VA,Bedford City,37.336027,-79.522585
VA,Danville City,36.603501,-79.376228
WV,Mercer,37.332725,-81.160066
WV,Wyoming,37.603344,-81.53998
WV,Mcdowell,37.411086,-81.539352
WV,Mingo,37.743063,-82.10801
WV,Greenbrier,37.844155,-80.538781
WV,Pocahontas,38.387966,-79.990585
WV,Monroe,37.552029,-80.539672
WV,Summers,37.674782,-80.890043
WV,Fayette,38.041293,-81.064784
WV,Kanawha,38.243675,-81.771226
WV,Raleigh,37.784459,-81.118491
WV,Roane,38.591037,-81.273681
WV,Boone,37.997105,-81.71704
WV,Putnam,38.508559,-81.841002
WV,Clay,38.465777,-81.050662
WV,Logan,37.833204,-81.902401
WV,Nicholas,38.254945,-81.217588
WV,Mason,38.752312,-81.997278
WV,Jackson,38.824924,-81.70665
WV,Calhoun,38.828582,-81.132151
WV,Gilmer,38.913649,-80.831256
WV,Berkeley,39.444061,-77.951924
WV,Jefferson,39.315914,-77.877223
WV,Morgan,39.552557,-78.18773
WV,Hampshire,39.314071,-78.659428
WV,Lincoln,38.167112,-81.968862
WV,Cabell,38.379347,-82.264954
WV,Wayne,38.384557,-82.557785
WV,Ohio,40.102703,-80.647599
WV,Brooke,40.225862,-80.65135
WV,Marshall,39.955349,-80.710507
WV,Hancock,40.556137,-80.565784
WV,Wood,39.286315,-81.55477
WV,Pleasants,39.375025,-81.263875
WV,Tyler,39.450612,-80.870081
WV,Wirt,39.040511,-81.371951
WV,Ritchie,39.198501,-81.068913
WV,Wetzel,39.611459,-80.817928
WV,Upshur,38.975479,-80.240664
